0,CombatZoneResize,241,226,406,391,TLResume,,
0,HeartTeleport,320,304,,,,,
0,HeartMode,0,,,,,,
0,TLPause,,,,,,,
0,SET,Loop,4,,,,,
0.3,SUB,Loop,$Loop,1,,,,
0,RND,Direction,4,,,,,
0,ADD,Jump,$Direction,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPREL,4,,,,,,
0,JMPREL,5,,,,,,
0,JMPREL,6,,,,,,
0,JMPREL,7,,,,,,
0,SansBody,HandRight,,,,,,
0,JMPREL,7,,,,,,
0,SansBody,HandDown,,,,,,
0,JMPREL,5,,,,,,
0,SansBody,HandLeft,,,,,,
0,JMPREL,3,,,,,,
0,SansBody,HandUp,,,,,,
0,JMPREL,1,,,,,,
0.26666,SansSlam,$Direction,,,,,,
0.2,BoneStab,$Direction,29,0.4,0,,,
0,JMPNZ,6,$Loop,,,,,
0,BoneHRepeat,130,-10,200,1,300,3,183
0,BoneHRepeat,330,650,200,3,300,3,183
0.5,HeartMode,0,,,,,,
2,SansBody,HandLeft,,,,,,
0.2,SansSlam,2,,,,,,
0.3,SansBody,HandRight,,,,,,
0.2,SansSlam,0,,,,,,
0,CombatZoneResizeInstant,241,226,449,391,,,
0,CombatZoneResize,241,226,650,391,,,
